tenant_id,avg_debt,complaint_count,rental_duration,resolved_complaints,region
1,1000,2,12,1,E
2,2000,3,24,0,E
3,500,1,6,1,F
4,300,0,12,0,C
5,2000,7,48,4,F
6,600,2,24,2,C
7,1000,2,12,1,E
8,2000,3,24,0,E
9,500,1,6,1,F
10,300,0,12,0,C
11,2000,7,48,4,F
12,600,2,24,2,C
13,1300,3,30,1,C
14,800,1,24,0,B
15,900,5,36,3,A
16,1100,6,24,2,E
17,200,0,12,0,C
18,1500,4,18,1,B
19,300,0,36,0,A
20,1100,2,24,2,C
21,800,1,12,1,E
22,1000,3,48,2,C
23,1500,2,60,1,B
24,1200,5,24,2,E
25,800,1,12,1,E
26,500,0,30,0,B
27,1300,2,36,1,E
28,1100,4,48,3,E
29,1600,3,24,1,E
30,1200,5,12,2,E
31,1800,6,30,1,E
32,2200,7,24,4,E
33,1500,4,18,1,C
34,2500,8,48,3,E
35,1000,3,36,2,F
36,500,0,12,0,E
37,1800,5,24,3,E
38,600,1,24,1,E
39,500,0,12,0,E
40,750,1,18,1,E
41,300,0,24,0,E
42,650,1,30,1,E
43,450,0,36,0,E
44,350,0,12,0,F
45,800,2,18,2,F
46,700,1,24,1,F
47,600,0,12,0,F
48,500,1,36,1,F
49,400,0,18,0,F
50,300,0,24,0,F
51,900,2,30,2,F
52,550,1,12,1,C
53,450,0,18,0,C
54,650,1,24,1,C
55,350,0,30,0,C
56,750,2,36,2,C
57,600,1,18,1,C
58,700,1,12,1,C
59,500,0,24,0,C
60,1000,3,30,2,D
61,1100,2,36,2,D
62,950,2,24,1,D
63,1050,3,18,2,D
64,1150,2,12,1,D
65,900,1,30,1,D
66,1200,3,24,2,D
67,980,2,36,2,D
68,1020,2,12,1,D
69,970,1,18,1,D
70,880,1,24,1,D
71,400,0,36,0,E
72,600,1,24,1,E
73,500,0,12,0,E
74,750,1,18,1,E
75,300,0,24,0,E
76,650,1,30,1,E
77,450,0,36,0,E
78,350,0,12,0,F
79,800,2,18,2,F
80,700,1,24,1,F
81,600,0,12,0,F
82,500,1,36,1,F
83,400,0,18,0,F
84,300,0,24,0,F
85,900,2,30,2,F
86,550,1,12,1,C
87,450,0,18,0,C
88,650,1,24,1,C
89,350,0,30,0,C
90,750,2,36,2,C
91,600,1,18,1,C
92,700,1,12,1,C
93,500,0,24,0,C
94,1000,3,30,2,D
95,1100,2,36,2,D
96,950,2,24,1,D
97,1050,3,18,2,D
98,1150,2,12,1,D
99,900,1,30,1,D
100,1200,3,24,2,D
101,1000,3,36,3,E
102,850,2,30,2,E
103,750,1,24,1,E
104,900,2,18,1,E
105,650,1,12,1,E
106,800,2,24,2,E
107,950,3,36,3,E
108,700,1,18,1,E
109,600,1,12,1,E
110,720,2,30,2,E
111,400,0,36,0,F
112,450,0,24,0,F
113,500,1,12,1,F
114,480,1,18,1,F
115,550,1,24,1,F
116,620,2,30,2,F
117,500,1,36,1,F
118,700,2,24,2,F
119,750,1,18,1,F
120,680,1,12,1,F
121,500,0,36,0,C
122,600,1,24,1,C
123,700,2,12,1,C
124,800,2,18,2,C
125,550,1,30,1,C
126,400,0,36,0,C
127,300,0,24,0,C
128,350,0,12,0,C
129,650,1,18,1,C
130,600,1,30,1,C
131,1200,4,36,3,D
132,1150,3,24,2,D
133,1100,2,18,2,D
134,1050,2,12,1,D
135,1000,3,30,2,D
136,950,2,36,2,D
137,900,1,24,1,D
138,850,1,18,1,D
139,800,1,12,1,D
140,750,1,30,1,D
141,700,0,36,0,E
142,650,0,24,0,E
143,600,1,12,1,E
144,550,1,18,1,E
145,500,1,24,1,E
146,450,1,30,1,E
147,400,1,36,1,E
148,350,0,12,0,E
149,300,0,18,0,E
150,250,0,24,0,E
151,800,2,36,2,F
152,850,2,30,2,F
153,900,3,24,3,F
154,950,3,18,2,F
155,1000,3,12,1,F
156,1100,4,36,3,F
157,1050,4,30,3,F
158,1150,3,24,2,F
159,1200,3,18,1,F
160,1250,4,12,1,F
161,500,0,36,0,C
162,600,0,24,0,C
163,700,1,12,1,C
164,750,1,18,1,C
165,800,1,24,1,C
166,850,2,30,2,C
167,900,2,36,2,C
168,950,2,24,2,C
169,1000,3,18,1,C
170,1050,3,12,1,C
171,1100,3,36,2,D
172,1150,3,30,2,D
173,1200,4,24,2,D
174,1250,4,18,1,D
175,1300,4,12,1,D
176,1350,5,36,3,D
177,1400,5,30,3,D
178,1450,4,24,2,D
179,1500,4,18,1,D
180,1550,5,12,1,D
181,1600,5,36,2,E
182,1650,5,30,2,E
183,1700,5,24,1,E
184,1750,4,18,1,E
185,1800,4,12,1,E
186,1850,4,36,2,E
187,1900,3,30,2,E
188,1950,3,24,1,E
189,2000,3,18,1,E
190,2050,2,12,1,E
191,2100,2,36,1,F
192,2150,2,30,1,F
193,2200,2,24,1,F
194,2250,2,18,1,F
195,2300,2,12,1,F
196,2350,3,36,2,F
197,2400,3,30,2,F
198,2450,3,24,2,F
199,2500,3,18,2,F
200,2550,3,12,2,F
201,1000,3,36,2,E
202,950,2,30,2,E
203,900,2,24,2,E
204,850,2,18,1,E
205,800,2,12,1,E
206,750,2,36,2,E
207,700,1,30,1,E
208,650,1,24,1,E
209,600,1,18,1,E
210,550,1,12,1,E
211,1000,3,36,2,F
212,1050,3,30,2,F
213,1100,3,24,2,F
214,1150,3,18,1,F
215,1200,3,12,1,F
216,1250,3,36,2,F
217,1300,3,30,2,F
218,1350,3,24,2,F
219,1400,3,18,1,F
220,1450,3,12,1,F
221,1500,4,36,3,C
222,1550,4,30,3,C
223,1600,4,24,3,C
224,1650,4,18,2,C
225,1700,4,12,2,C
226,1750,4,36,3,C
227,1800,4,30,3,C
228,1850,4,24,2,C
229,1900,4,18,2,C
230,1950,4,12,2,C
231,2000,5,36,4,D
232,2050,5,30,4,D
233,2100,5,24,3,D
234,2150,5,18,3,D
235,2200,5,12,2,D
236,2250,5,36,4,D
237,2300,5,30,4,D
238,2350,5,24,3,D
239,2400,5,18,3,D
240,2450,5,12,2,D
241,2500,3,36,2,E
242,2550,3,30,2,E
243,2600,3,24,2,E
244,2650,3,18,1,E
245,2700,3,12,1,E
246,2750,3,36,2,E
247,2800,3,30,2,E
248,2850,3,24,1,E
249,2900,3,18,1,E
250,2950,3,12,1,E
251,1000,0,36,0,F
252,1050,0,30,0,F
253,1100,0,24,0,F
254,1150,1,18,1,F
255,1200,1,12,1,F
256,1250,1,36,1,F
257,1300,1,30,1,F
258,1350,2,24,2,F
259,1400,2,18,2,F
260,1450,2,12,2,F
261,1500,3,36,3,C
262,1550,3,30,2,C
263,1600,3,24,2,C
264,1650,3,18,1,C
265,1700,3,12,1,C
266,1750,3,36,2,C
267,1800,3,30,2,C
268,1850,3,24,2,C
269,1900,3,18,1,C
270,1950,3,12,1,C
271,1000,1,36,1,D
272,950,1,30,1,D
273,900,1,24,1,D
274,850,1,18,1,D
275,800,1,12,1,D
276,750,1,36,1,D
277,700,0,30,0,D
278,650,0,24,0,D
279,600,0,18,0,D
280,550,0,12,0,D
281,2000,4,36,3,E
282,2050,4,30,3,E
283,2100,4,24,3,E
284,2150,4,18,2,E
285,2200,4,12,2,E
286,2250,4,36,3,E
287,2300,4,30,3,E
288,2350,4,24,2,E
289,2400,4,18,2,E
290,2450,4,12,2,E
291,1000,2,36,2,F
292,1050,2,30,2,F
293,1100,2,24,2,F
294,1150,2,18,2,F
295,1200,2,12,2,F
296,1250,2,36,2,F
297,1300,2,30,2,F
298,1350,2,24,2,F
299,1400,2,18,2,F
300,1450,2,12,2,F
301,1500,5,36,4,C
302,1550,5,30,4,C
303,1600,5,24,4,C
304,1650,5,18,3,C
305,1700,5,12,3,C
306,1750,5,36,4,C
307,1800,5,30,4,C
308,1850,5,24,3,C
309,1900,5,18,3,C
310,1950,5,12,3,C
311,1200,1,36,1,D
312,1250,1,30,1,D
313,1300,1,24,1,D
314,1350,1,18,1,D
315,1400,1,12,1,D
316,1450,1,36,1,D
317,1500,1,30,1,D
318,1550,1,24,1,D
319,1600,1,18,1,D
320,1650,1,12,1,D
321,1700,2,36,2,E
322,1750,2,30,2,E
323,1800,2,24,2,E
324,1850,2,18,1,E
325,1900,2,12,1,E
326,1950,2,36,2,E
327,2000,2,30,2,E
328,2050,2,24,1,E
329,2100,2,18,1,E
