tenant_id,avg_debt,complaint_count,rental_duration,resolved_complaints,region
1,1000,2,12,1,Жетысуский
2,2000,3,24,0,Жетысуский
3,500,1,6,1,Медеуский
4,300,0,12,0,Ауэзовский
5,2000,7,48,4,Медеуский
6,600,2,24,2,Ауэзовский
7,1000,2,12,1,Жетысуский
8,2000,3,24,0,Жетысуский
9,500,1,6,1,Медеуский
10,300,0,12,0,Ауэзовский
11,2000,7,48,4,Медеуский
12,600,2,24,2,Ауэзовский
13,1300,3,30,1,Ауэзовский
14,800,1,24,0,Алмалинский
15,900,5,36,3,Алатауский
16,1100,6,24,2,Жетысуский
17,200,0,12,0,Ауэзовский
18,1500,4,18,1,Алмалинский
19,300,0,36,0,Алатауский
20,1100,2,24,2,Ауэзовский
21,800,1,12,1,Жетысуский
22,1000,3,48,2,Ауэзовский
23,1500,2,60,1,Алмалинский
24,1200,5,24,2,Жетысуский
25,800,1,12,1,Жетысуский
26,500,0,30,0,Алмалинский
27,1300,2,36,1,Жетысуский
28,1100,4,48,3,Жетысуский
29,1600,3,24,1,Жетысуский
30,1200,5,12,2,Жетысуский
31,1800,6,30,1,Жетысуский
32,2200,7,24,4,Жетысуский
33,1500,4,18,1,Ауэзовский
34,2500,8,48,3,Жетысуский
35,1000,3,36,2,Медеуский
36,500,0,12,0,Жетысуский
37,1800,5,24,3,Жетысуский
38,600,1,24,1,Жетысуский
39,500,0,12,0,Жетысуский
40,750,1,18,1,Жетысуский
41,300,0,24,0,Жетысуский
42,650,1,30,1,Жетысуский
43,450,0,36,0,Жетысуский
44,350,0,12,0,Медеуский
45,800,2,18,2,Медеуский
46,700,1,24,1,Медеуский
47,600,0,12,0,Медеуский
48,500,1,36,1,Медеуский
49,400,0,18,0,Медеуский
50,300,0,24,0,Медеуский
51,900,2,30,2,Медеуский
52,550,1,12,1,Ауэзовский
53,450,0,18,0,Ауэзовский
54,650,1,24,1,Ауэзовский
55,350,0,30,0,Ауэзовский
56,750,2,36,2,Ауэзовский
57,600,1,18,1,Ауэзовский
58,700,1,12,1,Ауэзовский
59,500,0,24,0,Ауэзовский
60,1000,3,30,2,Бостандыкский
61,1100,2,36,2,Бостандыкский
62,950,2,24,1,Бостандыкский
63,1050,3,18,2,Бостандыкский
64,1150,2,12,1,Бостандыкский
65,900,1,30,1,Бостандыкский
66,1200,3,24,2,Бостандыкский
67,980,2,36,2,Бостандыкский
68,1020,2,12,1,Бостандыкский
69,970,1,18,1,Бостандыкский
70,880,1,24,1,Бостандыкский
71,400,0,36,0,Жетысуский
72,600,1,24,1,Жетысуский
73,500,0,12,0,Жетысуский
74,750,1,18,1,Жетысуский
75,300,0,24,0,Жетысуский
76,650,1,30,1,Жетысуский
77,450,0,36,0,Жетысуский
78,350,0,12,0,Медеуский
79,800,2,18,2,Медеуский
80,700,1,24,1,Медеуский
81,600,0,12,0,Медеуский
